Provisioning : Storage Systems : A92_T400 : Virtual Volumes - Virtual Volumes

Name,Set,State,Virtual Size (GiB),Reserved User Size (GiB),Exported To,RC Group
WINPBDD001_D,--,Normal,2 500 000 GiB,2 313 375 GiB,WINPBDD001,--
WINPBDD001_E,--,Normal,200 000 GiB,122 375 GiB,WINPBDD001,--
WINPBDD001_F,--,Normal,1 000 000 GiB,393 500 GiB,WINPBDD001,--
ESX_123_R_XENAPP,--,Normal,1 500 000 GiB,313 000 GiB,ESX_11_R_XENAPP  <html><i>set:</i>ESX_R_XENAPP_A92</html>,--
ESX_146_R_VRA_PERF,--,Normal,1 500 000 GiB,443 500 GiB,ESX_47_R_PERF  ESX_46_R_PERF  ESX_36_R_PERF  <html><i>set:</i>ESX_R_PERF_A92</html>,--
ESX_147_R_VRA_PERF,--,Normal,1 500 000 GiB,473 000 GiB,ESX_47_R_PERF  ESX_46_R_PERF  ESX_36_R_PERF  <html><i>set:</i>ESX_R_PERF_A92</html>,--
ESX_148_R_VRA_PERF,--,Normal,1 500 000 GiB,564 750 GiB,ESX_47_R_PERF  ESX_46_R_PERF  ESX_36_R_PERF  <html><i>set:</i>ESX_R_PERF_A92</html>,--
ESX_149_R_VRA_PERF,--,Normal,1 500 000 GiB,589 625 GiB,ESX_47_R_PERF  ESX_46_R_PERF  ESX_36_R_PERF  <html><i>set:</i>ESX_R_PERF_A92</html>,--
ESX_10C_DMZ_R,--,Normal,750 000 GiB,254 000 GiB,ESX_104_R_DMZ  ESX_102_R_DMZ  ESX_08_R_DMZ  <html><i>set:</i>ESX_R_DMZ_A92</html>,--
ESX_14E_DMZ_R,--,Normal,1 500 000 GiB,224 000 GiB,ESX_104_R_DMZ  ESX_102_R_DMZ  ESX_08_R_DMZ  <html><i>set:</i>ESX_R_DMZ_A92</html>,--
ESX_14F_R_VRA,--,Normal,2 000 000 GiB,757 375 GiB,ESX_152_R_VRA  ESX_150_R_VRA  ESX_116_R_VRA  ESX_148_R_VRA  <html><i>set:</i>ESX_R_VRA_A92</html>,--
ESX_150_R_VRA,--,Normal,2 000 000 GiB,828 875 GiB,ESX_152_R_VRA  ESX_150_R_VRA  ESX_116_R_VRA  ESX_148_R_VRA  <html><i>set:</i>ESX_R_VRA_A92</html>,--
ESX_15F_R_VRA,--,Normal,2 000 000 GiB,857 750 GiB,ESX_152_R_VRA  ESX_150_R_VRA  ESX_116_R_VRA  ESX_148_R_VRA  <html><i>set:</i>ESX_R_VRA_A92</html>,--
ESX_2C1_R_VRA,--,Normal,2 000 000 GiB,821 500 GiB,ESX_152_R_VRA  ESX_150_R_VRA  ESX_116_R_VRA  ESX_148_R_VRA  <html><i>set:</i>ESX_R_VRA_A92</html>,--
ESX_2EA_R_VRA,--,Normal,2 000 000 GiB,719 000 GiB,ESX_152_R_VRA  ESX_150_R_VRA  ESX_116_R_VRA  ESX_148_R_VRA  <html><i>set:</i>ESX_R_VRA_A92</html>,--
ESX_2ED_R_VRA,--,Normal,2 000 000 GiB,1 348 375 GiB,ESX_152_R_VRA  ESX_150_R_VRA  ESX_116_R_VRA  ESX_148_R_VRA  <html><i>set:</i>ESX_R_VRA_A92</html>,--
ESX_RDM_2F1_VWC2APP034,--,Normal,5 000 000 GiB,1 763 000 GiB,ESX_152_R_VRA  ESX_150_R_VRA  ESX_116_R_VRA  ESX_148_R_VRA  <html><i>set:</i>ESX_R_VRA_A92</html>,--
ESX_2F2_R_VRA,--,Normal,2 000 000 GiB,672 500 GiB,ESX_152_R_VRA  ESX_150_R_VRA  ESX_116_R_VRA  ESX_148_R_VRA  <html><i>set:</i>ESX_R_VRA_A92</html>,--
ESX_2F4_R_VRA,--,Normal,2 000 000 GiB,531 500 GiB,ESX_152_R_VRA  ESX_150_R_VRA  ESX_116_R_VRA  ESX_148_R_VRA  <html><i>set:</i>ESX_R_VRA_A92</html>,--
ESX_RDM_312_VWC2APP040,--,Normal,5 000 000 GiB,76 000 GiB,ESX_152_R_VRA  ESX_150_R_VRA  ESX_116_R_VRA  ESX_148_R_VRA  <html><i>set:</i>ESX_R_VRA_A92</html>,--
ESX_012_R_MIX,--,Normal,1 600 000 GiB,676 000 GiB,ESX_52_R  ESX_86_R  ESX_10_R  ESX_60_R  ESX_92_R  ESX_50_R  ESX_13_R  ESX_90_R  ESX_12_R  ESX_104_R  <html><i>set:</i>ESX_R_A92</html>,--
ESX_013_R_MIX,--,Normal,1 550 000 GiB,720 500 GiB,ESX_52_R  ESX_86_R  ESX_10_R  ESX_60_R  ESX_92_R  ESX_50_R  ESX_13_R  ESX_90_R  ESX_12_R  ESX_104_R  <html><i>set:</i>ESX_R_A92</html>,--
